"order_id","order_number","state","timeslot_from","timeslot_to","created_date"
"81108141","2000038595452","COMPLETED","2025-12-23T12:00:00Z","2025-12-23T13:00:00Z","2025-12-22T21:00:00Z"
"81108139","2000038595453","COMPLETED","2025-12-23T12:00:00Z","2025-12-23T13:00:00Z","2025-12-22T21:00:00Z"
"81108138","2000038595455","COMPLETED","2025-12-23T12:00:00Z","2025-12-23T13:00:00Z","2025-12-22T21:00:00Z"
"81108143","2000038595451","COMPLETED","2025-12-25T12:00:00Z","2025-12-25T13:00:00Z","2025-12-22T21:00:00Z"
"81108142","2000038595454","COMPLETED","2025-12-25T12:00:00Z","2025-12-25T13:00:00Z","2025-12-22T21:00:00Z"
"81470497","2000038811051","COMPLETED","2025-12-25T22:00:00Z","2025-12-25T23:00:00Z","2025-12-24T21:00:00Z"
"81471760","2000038811744","COMPLETED","2025-12-25T22:00:00Z","2025-12-25T23:00:00Z","2025-12-24T21:00:00Z"
"81466719","2000038808844","COMPLETED","2025-12-26T11:00:00Z","2025-12-26T12:00:00Z","2025-12-24T21:00:00Z"
"81466720","2000038808845","COMPLETED","2025-12-26T11:00:00Z","2025-12-26T12:00:00Z","2025-12-24T21:00:00Z"
"81466876","2000038808933","COMPLETED","2025-12-26T11:00:00Z","2025-12-26T12:00:00Z","2025-12-24T21:00:00Z"
"81466877","2000038808934","COMPLETED","2025-12-26T11:00:00Z","2025-12-26T12:00:00Z","2025-12-24T21:00:00Z"
"81470496","2000038811052","COMPLETED","2025-12-26T11:00:00Z","2025-12-26T12:00:00Z","2025-12-24T21:00:00Z"
"81470498","2000038811053","COMPLETED","2025-12-26T11:00:00Z","2025-12-26T12:00:00Z","2025-12-24T21:00:00Z"
"81470499","2000038811054","COMPLETED","2025-12-26T11:00:00Z","2025-12-26T12:00:00Z","2025-12-24T21:00:00Z"
"81471126","2000038811379","COMPLETED","2025-12-26T11:00:00Z","2025-12-26T12:00:00Z","2025-12-24T21:00:00Z"
"81471127","2000038811380","COMPLETED","2025-12-26T11:00:00Z","2025-12-26T12:00:00Z","2025-12-24T21:00:00Z"
"81472359","2000038812072","COMPLETED","2025-12-26T11:00:00Z","2025-12-26T12:00:00Z","2025-12-24T21:00:00Z"
"81473351","2000038812618","COMPLETED","2025-12-26T11:00:00Z","2025-12-26T12:00:00Z","2025-12-24T21:00:00Z"
"81473353","2000038812619","COMPLETED","2025-12-26T11:00:00Z","2025-12-26T12:00:00Z","2025-12-24T21:00:00Z"
"81473354","2000038812620","COMPLETED","2025-12-26T11:00:00Z","2025-12-26T12:00:00Z","2025-12-24T21:00:00Z"
"81468670","2000038809995","COMPLETED","2025-12-26T14:00:00Z","2025-12-26T15:00:00Z","2025-12-24T21:00:00Z"
"81472361","2000038812073","COMPLETED","2025-12-26T14:00:00Z","2025-12-26T15:00:00Z","2025-12-24T21:00:00Z"
"81473352","2000038812617","COMPLETED","2025-12-26T14:00:00Z","2025-12-26T15:00:00Z","2025-12-24T21:00:00Z"
"81108140","2000038595450","COMPLETED","2025-12-26T15:00:00Z","2025-12-26T16:00:00Z","2025-12-22T21:00:00Z"
"81469530","2000038810478","COMPLETED","2025-12-29T11:00:00Z","2025-12-29T12:00:00Z","2025-12-24T21:00:00Z"
"81471494","2000038811595","COMPLETED","2025-12-29T11:00:00Z","2025-12-29T12:00:00Z","2025-12-24T21:00:00Z"
"81533698","2000038851552","COMPLETED","2025-12-29T11:00:00Z","2025-12-29T12:00:00Z","2025-12-24T21:00:00Z"
"81638041","2000038910398","COMPLETED","2025-12-29T11:00:00Z","2025-12-29T12:00:00Z","2025-12-25T21:00:00Z"
"81638043","2000038910400","COMPLETED","2025-12-29T11:00:00Z","2025-12-29T12:00:00Z","2025-12-25T21:00:00Z"
"81468669","2000038809994","COMPLETED","2025-12-29T12:00:00Z","2025-12-29T13:00:00Z","2025-12-24T21:00:00Z"
"81469526","2000038810479","COMPLETED","2025-12-29T12:00:00Z","2025-12-29T13:00:00Z","2025-12-24T21:00:00Z"
"81469525","2000038810480","COMPLETED","2025-12-29T12:00:00Z","2025-12-29T13:00:00Z","2025-12-24T21:00:00Z"
"81469528","2000038810481","IN_TRANSIT","2025-12-29T12:00:00Z","2025-12-29T13:00:00Z","2025-12-24T21:00:00Z"
"81469527","2000038810482","COMPLETED","2025-12-29T12:00:00Z","2025-12-29T13:00:00Z","2025-12-24T21:00:00Z"
"81469529","2000038810483","COMPLETED","2025-12-29T12:00:00Z","2025-12-29T13:00:00Z","2025-12-24T21:00:00Z"
"81469531","2000038810484","COMPLETED","2025-12-29T12:00:00Z","2025-12-29T13:00:00Z","2025-12-24T21:00:00Z"
